	正解	予測	予測確率(ポジティブ)	単語列
112	0	0	0.21302858747175385	rel effect littl potboil absurd contriv overblown entir implaus final
113	1	1	0.5382597494441118	sorvino delight central role nearli glow enthusiasm sensual conniv wit
114	1	1	0.8488449297706773	thought unflinch examin altern lifestyl sex stranger success
115	0	0	0.37433670549436787	throw pull pin grenad tooth windtalk seem ransack everi old world war movi overli familiar materi
116	0	0	0.2537423675752712	bore pretenti muddl use sensat real life th centuri crime metaphor well exactli sure dramat weight raindrop
117	0	0	0.47079899610585496	well act well intent snoozer
118	1	1	0.7716424074092588	real pleasur lay back way
119	1	1	0.7676535854648835	insight write delic perform
120	0	0	0.3228169051316218	help director cinematograph stephen kazmierski shoot grungi video give whole thing dirti tasteless feel
121	0	0	0.4030498986285497	wasabi slight fare inde entir project feel toss quickli hubert punch go smoothli enough popcorn
122	0	1	0.7202655240309525	chao chen kaig assist year china learn storytel movi
123	1	1	0.6459740751719495	smith examin intim unguard moment folk live unusu home pop nearli everi corner countri
124	1	1	0.5565932351530735	zhang subject matter degre least quintessenti american approach storytel call iranian
125	1	1	0.6490544840257427	natur funni film home movi make crave chri smith next movi
126	0	0	0.4275543352419378	easi watch annoy demeanour lead charact
127	1	1	0.5809485916220138	russian word wow
128	1	1	0.5952612962857114	fine focu piec work reopen interest controversi never succumb sensation
129	0	0	0.4101587842408019	adventur pluto nash whole lot nada
130	0	0	0.1722943161810371	biggest problem sluggish pace never realli see esther blossom actress even talent suppos grow
131	1	1	0.6107702077272902	highli recommend view courag idea technic profici great act
132	1	0	0.4596782247551382	fulfil minimum requir disney anim
133	1	1	0.6892203558940254	believ santa clau probabl also think sequel never captur magic origin well movi prove wrong count
134	1	1	0.5215704952365497	soul unslick appar aniston alway need grow movi career
135	0	0	0.4207740910357016	open scene clear benjamin total formula movi
136	1	1	0.8837862493130622	fun adventur movi kid age like adventur
137	0	1	0.5968247856600856	stori expand work compel singl featur current incarn storytel never quit get rather lopsid concept
138	0	1	0.6221519823066757	charm kevin kline stori put old fashion valu microscop creepi movi
139	1	1	0.6375297841708701	deni make beau travil nenett et boni prepar gori pervert sex soak riff cannib genr
140	1	1	0.7484135638535635	touch gener light enough perform part credibl
141	0	0	0.21117307807682373	statham employ accent think suppos attempt hardass american sometim laps unhidden british
142	1	0	0.4277790317184804	promis film truli deserv oscar nomin
143	1	1	0.646987513665196	director juan jose campanella turn argentin retread iri american beauti instead pull littl film creat beauti either film
144	1	1	0.7266959507169387	speak eloqu symbiot relationship art life
145	0	0	0.4385208334213426	clariti purpos even handed film direct drama feel rig sluggish
146	1	0	0.4295200485726323	will go claustrophob concept
147	0	0	0.28334908666778774	wors lot crap offer summer slightli better man black far slapdash extraterrestri comedi go
148	0	0	0.272259997443355	mechan endeavor never bother question devot time see
149	0	0	0.39407264584095864	even predict clich ride endeavor predecessor
150	1	1	0.6815527630474585	fine old fashion movi movi say unburden pretens great artist signific
151	0	0	0.2655589887000421	stale clichéd fault
152	0	0	0.13225174683053662	movi bad almost worth see bad
153	0	0	0.10228544840457213	slow bore occasion annoy
154	1	0	0.4809837041634985	obnoxi titl charact provid drama give add clout doc
155	0	0	0.2605723057724928	film neither bitter sweet neither romant comed neither warm fuzzi
156	1	0	0.4318651760941028	lack origin make intellig b-grade stylish
157	0	0	0.4296445128684928	pint size goodfella design appeal younger set good movi object sens mostli hold interest
158	0	0	0.2198690856377175	feel time giant commerci univers studio much action take place
159	0	0	0.46434721045780497	showtim closer slowtim
160	1	1	0.6122854438749988	remark achiv film shanghai place serv jew escap holocaust
161	1	1	0.5496346881812878	transit adulthood fraught much truth small amount poetri girl swim
162	0	0	0.16853286259227906	start strongli quickli lose focu point purpos mess mix messag blow drama bruce willi scar
163	1	0	0.4690984810517038	quit funni type movi
164	0	1	0.543433961340221	movi ask feel sorri mick jagger sex life alreadi strike
165	1	1	0.7262277209476586	encourag young old alik go see uniqu entertain twist classic whale tale sorri
166	0	0	0.31499077413538956	befit titl pg rate piffl ultim threaten snuggl fabric soften bear
167	0	0	0.21542244646748226	ballast tank sink harrison ford low
168	1	0	0.34671478493323	case convinc one give conscienc reason paus
169	1	0	0.44395700147679285	filmmak staci peralta flashi edit style alway jell sean penn monoton narrat respect materi sentiment
170	1	1	0.6210841195889416	life affirm vulgar mean like
171	0	0	0.2622610432417013	interest remak pale imit
172	0	0	0.24019347194595622	work better concept execut wind seem littl clever
173	0	0	0.3826249130064341	concept hoot trailer riot movi dud
174	1	1	0.7437789724190514	nohe documentari event sympathet gullibl blind silli also captur moment spontan creativ authent co-op interact
175	0	0	0.4868205087556254	play john le carré coupl bur cylind
176	1	1	0.5438142235357061	twisti moodi slice southern gothic
177	0	0	0.4598177782948307	simplist fluff ball whimsi
178	1	1	0.7861353204743066	fantasma boldli confid orchestr aesthet sexual impact deepli rightli disturb
179	0	0	0.47726597458483405	end care cold heart snake petrovich reno get comeupp bring battl bot pleas
180	0	0	0.18442716944028867	movi direct mick jackson leav clich unturn predict plot charact straight central cast
181	0	1	0.8421329040290834	year later reggio still know make point poetic imageri abil startl stifl preval fast forward technolog stringent take task
182	0	1	0.8062161085481919	even feel see movi time kind enjoy thank mainli belushi easi go likabl
183	0	0	0.48734846936134424	perfect exampl rancid well intent shamelessli manipul movi make
184	1	1	0.5622588491964662	wed feel bit anachronist still everi low budget movi quirki bleak happi end cinemat sin
185	1	1	0.6363237616251857	melancholi emot film
186	1	0	0.3299013324885727	mayb formula filmmak wrong film well craft one
187	1	1	0.7705775531879611	barbershop good heart ensembl comedi varieti quirki charact engag stori
188	0	0	0.374515343663981	see kare black camp storm fring feminist conspiraci theorist name dirti dick
189	0	1	0.5151818028003791	perfectli accept perfectli bland compet act mean scari horror movi
190	1	1	0.5300484287345991	pay attent follow stori interest movi well shoot tragic ponder credit roll
191	0	1	0.6733038654945381	tell scatter fashion movi intermitt live stori face music man subject
192	0	1	0.5951722698155434	thriller directori debut traffic scribe gaghan right part piec quit fit togeth
193	0	0	0.38944481315286594	baffl mix platter gritti realism magic realism hard swallow premis
194	1	1	0.8186759701708759	nair attent detail creat impecc sens place thurman lewi give easili consid career best perform
195	1	1	0.6881913482479565	well write sexi beast glorious flippant lock stock smoke barrel stylish moodi except well act
196	1	1	0.7530788425476669	coy exhilar realli solid perform ving rhame wesley snipe
197	1	0	0.40209080898394306	result memor least interest
198	1	0	0.4738234597652064	feel untidili honest
199	0	1	0.6949362429471603	hardli nuanc portrait young woman breakdown film nevertheless work scare
200	0	0	0.1928010373704816	one convict guilti truli heinou crime sit master disguis
201	0	0	0.4671053437861907	play hollow catharsi lot tear littl way insight
202	1	1	0.5738681804408516	light year ahead paint number american blockbust pearl harbor least artist
203	0	0	0.4449496479227366	cri spi latest laziest imagin vintag tv spinoff capabl engend emot respons kind
204	1	1	0.5110053429327219	auto focu standard holli wood bio-pic schrader aim present unflinch look man downfal bring lack self awar
205	1	0	0.3930521094766693	home movi film equival lovingli render coffe tabl book
206	1	1	0.7571019532697044	intens romant think provok even engag mysteri
207	0	0	0.4473446446198838	boy oh boy howler
208	1	1	0.7498568076448329	pure cinemat intox wildli invent mixtur comedi melodrama tasteless swoon eleg
209	0	0	0.34068751759023236	sluggish tonal uneven
210	1	1	0.6338585737979077	amus provok adventur adult specialti venu
211	1	1	0.6729310735097076	bright pristin style bold color make much fun read overs pictur book bedtim
212	0	0	0.07339141957161782	suffer flat script low budget
213	0	0	0.2751553498487561	undisput worst box movi ever certainli champion big loser audienc
214	0	0	0.3160929487265558	perhap annoy thing tout crime movi make obvious know crime
215	0	0	0.4021187495354595	new face interest old stori especi start seem improvis scrip
216	1	1	0.8568360422017854	greatest famili orient fantasi adventur movi ever
217	0	0	0.4924520645549976	expect remind better film especi director william malon slavishli copi
218	0	0	0.36977383197875113	glare sign movi servitud superstar way skirt scene requir genuin act ms spear
219	1	0	0.4597056296980632	pray realli subject justic
220	1	1	0.5405620799917602	simpli doubt film ask right question right time histori countri
221	1	1	0.7871339617639608	light candl bring cake fret calori preciou littl substanc birthday girl simpli surprisingli nice light treat
222	1	0	0.43161506494806146	good practic see holli wood suit tri put togeth cast filmmak team inevit american remak
223	1	0	0.4599211180416661	turntabl outsel electr guitar
224	1	0	0.4012480927369929	alreadi see citi sea varieti titl worth anoth visit
225	0	0	0.4054866971177794	human natur talk talk fail walk silli walk distinguish mere quirki surreal
226	0	0	0.2526989788110492	suggest pun ingredi soup noodl let say ingredi quit add meal
227	1	0	0.36550802157331436	differ genr reli dumb gag anatom humor charact clich primarili reli charact tell stori
228	0	0	0.42827882411902024	good man tell handl truth high crime poetic state point movi care truth
229	1	1	0.6230481288203835	keep aloft larg comic adept ensembl
230	1	0	0.3674875885881876	involv true stori chines actor take drug wind institut act mostli actual peopl involv
231	0	0	0.450256707866677	littl satisfi
232	1	1	0.6407673142536469	tian emphas isol charact confin color liyan backyard
233	1	1	0.8054321287578542	wonder fresh moment smooth moral stiff human kind hope
234	0	0	0.33771556852128654	overwrought melodramat bodic ripper
235	0	1	0.6744235366597533	great ensembl cast lift heartfelt enterpris familiar
236	1	1	0.8150243427570083	movi quiet affirm neighborhood valu give honest live glow
237	1	1	0.5360076821858264	japanes director shohei imamura latest film odd ultim satisfi blend sophomor sublim
238	0	0	0.22265156767166605	bare manag second seemingli etern run time piqu interest imagin empathi realli save disgust indiffer
239	1	1	0.9140230766601501	first film incred captiv insan funni thank part interest cinemat devic cool visual backmask solid cast wickedli sick twist humor
240	0	0	0.22536189012859423	writer director randal wallac bitten els chew movi veer drunken driver heavi traffic
241	0	1	0.5140124958457252	believ film virtu
242	0	0	0.401057709042361	shaki close turkey roll stubbl chin liver spot red nose filmmak new bob draw easi chuckl lead nowher
243	1	1	0.7026286474713603	come age movi holli wood gut make
244	1	1	0.722625447667071	local get kick spot cleveland site rest world enjoy fast pace comedi quirk make award win coen brother enviou
245	1	1	0.5798297787009342	hashiguchi use situat evok japan bustl undercurr loneli isol
246	1	1	0.6829193556099843	hashiguchi cover territori wit origin suggest fourth featur first releas major director emerg world cinema
247	1	1	0.7262916566877133	tattoo borrow heavili silenc lamb manag maintain level sophist intrigu human scale charact suck audienc
248	0	0	0.3196513635180757	supposedli base real least soberli report incid film end larg human tragedi ala get even half interest
249	0	1	0.6072031962825789	brilliant touch dragon lose fire midway nearli flicker perfunctori conclus
250	0	0	0.41060693648568436	impress roster star direct kathryn bigelow weight water oppress heavi
251	0	1	0.5735579579549851	recent tension rekindl kathleen soliah trial upcom trial sla member emili william harri mention sept difficult day appreci fire bright side
252	1	0	0.3807574640007402	make melodrama filmmak cut natur grain produc work interest ask question answer
253	1	1	0.7772692855596106	perform around top lead deliv oscar calib perform
254	0	0	0.3968755563763589	shadyac shoot film night shyamalan movi frequent maintain snail pace forget add genuin tension
255	1	1	0.7659174022018429	incred thought deepli medit pictur neatli effect captur debilit grief feel immedi aftermath terrorist attack
256	1	1	0.6759717993773714	recent favourit sundanc white trash satir inspir affect even unlucki peopl never cassett def leppard pyromania
257	1	1	0.7608621797587127	rivet stori well tell
258	1	1	0.5329171371545538	scope ambit accomplish child centuri take kuri career whole new level
259	0	0	0.40008754470474694	pictur score pervers cheer marcu miller accordion harmonica banjo abomin monument bad florid varieti
260	1	0	0.4878958046589654	sincer exploit subject honest manipul audienc
261	0	0	0.1749010926765215	begin life comput game morph movi bad one cours
262	0	0	0.12607080530787912	nearli everi attempt humor doa
263	0	0	0.4923629710822406	clumsi key moment make big splash
264	1	1	0.5348413679042757	red dragon worthi place hannib movi hannib say ye old friend dinner
265	0	0	0.37728548935376616	burger desir make kind film realli unclear project undertak
266	1	1	0.6014819473288493	comedi swing jostl rhythm life
267	0	0	0.32072984962830897	whini downer corrusc commentari
268	0	0	0.3479478820041804	time crazi night come close hit comed satir target offbeat music number
269	0	1	0.6659779815855027	lower expect enjoy
270	1	1	0.653688409536835	raimi matur quit bit spider man even plain white toast comic book film ever see
271	1	1	0.6457990226892657	ask truth discern non-firsthand experi specif question cinema capabl record truth
272	0	0	0.3820252224671436	give fact virtual one bound show theatr project make tube
273	1	1	0.9077079563686273	exhilar funni fun
274	1	1	0.7652075928209667	vivid portrait woman consum lust love crush betray conjur intox fume emot ghost freshli paint rembrandt
275	1	1	0.8629433521006146	strang funni twist brilliant macabr
276	1	1	0.6952811581836745	music special littl special music sell mani record help chang nation
277	1	1	0.7713958425381826	straight shoot famili film award anim respect rare give
278	1	1	0.7328811041248853	remark allur film set constrict eisenhow era suburban woman yearn face loss shatter cheeri tranquil suburban life
279	1	1	0.5573888822300328	rara avi intellig romant comedi actual idea mind
280	0	0	0.30868003922555987	low rent even lower wit rip farrelli brother oeuvr get way mushi rel short amount time
281	0	1	0.5769355579130412	hope keep aris movi live appar skill maker talent actor
282	0	0	0.3459660550003155	solondz well one laugh joke
283	0	0	0.4543955676462802	much movi joint promot nation basketbal associ teenag rap adolesc poster boy lil bow wow
284	0	1	0.7501428815452804	win vote enemi cinema award
285	1	0	0.4751307466332809	move love bore frustrat film still feel
286	1	1	0.6142423372243823	roller coaster ride movi
287	0	0	0.4489379150586246	dull road trip movi surprisingli short adventur song
288	0	0	0.39915960771921133	frustrat tweener slick contriv exploit art hous cynic small decad mall
289	0	0	0.4108940337026554	serv sara long way go reach level cruditi latest austin power extravaganza match movi intermitt moment inspir
290	0	0	0.1670163110472831	attempt ensembl film impart messag heavi hand instead pummel audienc
291	1	0	0.40043935783678003	war movi focu human interact rather battl action sequenc stronger
292	0	1	0.7441273991026222	de niro mcdormand give solid perform screen time sabotag stori inabl creat interest
293	1	1	0.84525704389332	chill fascin philipp mora modern hitler studi snide prejudic
294	0	0	0.3072199382929586	girlfriend bad wife wors babi kiss death bitter italian comedi
295	1	1	0.5018474367163983	evok centuri subtleti object lesson period filmmak
296	1	1	0.5479092365870892	star war back major way
297	1	1	0.7905030305309654	flamboy movi art restrain year old jack nicholson look oscar nomin prove ever choos role precis insur actuari
298	1	1	0.7392175087959882	fiji diver rusi vulakoro marri coupl howard michel hall show world love make love
299	1	1	0.7781042408342348	thought provok pictur
300	1	0	0.37726206695933906	think movi probabl like
301	0	0	0.3802062485841833	analyz prove realli movi worth decent gag glean premis
302	1	1	0.7634004022979993	film manag find great hue drastic iconographi
303	1	1	0.7371068766846166	solid watchabl first featur director peter sheridan
304	0	0	0.18881154025195354	venezuelan say thing si pretti much favor go home talk american loco ridicul rest dragonfli
305	0	0	0.10071050595294939	premis sooooo tire pair realli poor comed write get huge mess
306	0	0	0.48383141199614843	spousal abus major problem contemporari societi film reduc domest tragedi florid melodrama
307	0	0	0.3224389412785026	believ make real deal leftov enron stock doubl valu week friday
308	0	0	0.13303645209972997	glorifi sitcom long unfunni one
309	0	0	0.25173351840809777	schneider mug relentless constant need suddenli transpos anoth charact undermin stori continu progress
310	0	1	0.5339367208276362	go far enough humor stock idea stand particularli memor even funni
311	1	1	0.6222534005280075	poetic heartbreak
312	1	1	0.7853903115800441	perhap grossest movi ever make funni though
313	0	0	0.36751987683536824	count gross comedi tri forget first film long time make want bolt theater first minut
314	0	0	0.2537740248674534	watch brainless insan thing mount disbelief
315	0	1	0.5861381508801146	captur conceptu process add suffici explan final danc work select becom final form
316	1	1	0.7469549209179546	good thriller
317	0	0	0.33187756658128464	seem even uselessli redund shamelessli money grub third rate horror sequel
318	1	1	0.6755472188078064	love way take chanc realli ask take great leap faith pay
319	0	0	0.13187979709894213	aggrav tediou
320	1	1	0.7046281832064846	film exhilar watch sandler liber constraint formula reveal unexpect depth actor
321	0	0	0.4573395534420145	perplex exampl promis unfulfil mani charm moment
322	0	0	0.4705028610764717	sure frantic virul foul natur christma season pic ever deliv holli wood studio
323	1	1	0.7540226611155981	miller come film brace intellig vision painterli literari
324	0	0	0.2902927580923684	writer director ritchi reduc wertmul social polit tiresom jargon
325	0	0	0.47160399168736244	good look ultim pointless polit thriller plenti action almost substanc
326	1	1	0.8425029576169862	engross portrait man engag manner flamboy style make truli larger life charact
327	0	1	0.5051552971996438	weird
328	1	1	0.8134500099473319	danger life altar boy flaw also humor heart talent young actor
329	1	1	0.8858881230789153	tender touch drama base true stori troubl african american quest come term origin reveal yearn heart accept famili circl
330	1	1	0.7804264961365773	end leav unfulfil perform enjoy memor ensembl piec
331	0	1	0.6080785285473232	get light shower emot coupl time strang wane inconsist ultim unsatisfi drizzl
332	1	1	0.7211069783732225	film courag convict excel perform side
333	0	0	0.33827968054016944	confus least favourit emot especi put minut
334	0	0	0.4573389054260865	lacklust unessenti sequel classic disney adapt barri peter pan
335	1	1	0.8073073855916892	differ kind love stori dark disturb pain watch compel
336	0	0	0.30476920553009124	littl object go long way
337	0	1	0.5116767503489875	slap see movi
338	0	0	0.24115694742552338	suppos romant comedi suffer much norma rae enough pretti woman
339	0	0	0.2968365417316198	ultim film amount lectur tech geek sort thing
340	1	1	0.7611232354027363	adobo ethnic spice heart univers concern
341	0	0	0.32864835799651587	better titl concern sweep rug
342	1	1	0.5175462661480852	hardli masterpiec introduc viewer good charit enterpris interest real peopl
343	0	0	0.14855480936663643	limp along squirm induc fish water formula go nowher go slowli
344	0	0	0.19667376316519697	film creat sole market product soulless ugli movi result let silli childhood nostalgia slumber unmolest
345	1	1	0.5941278704867997	storytel ordinari cast star reunion fan gosford park come assum anoth day brit cinema
346	1	1	0.8514032955721968	director jackson strike reward balanc emot human scale action effect spectacular scale
347	1	1	0.672958659827481	notori cho prove stuff stand tall pryor carlin murphi
348	0	0	0.3392584897427291	lot imaginari sport project screen loud violent mindless
349	1	1	0.7353340672203316	ambiti comic escapad work coppola sister sofia real filmmak gene
350	0	1	0.5484791803215774	appear even filmmak know kind movi make
351	1	1	0.7456224064770468	joli give extra littl make worth check theater especi mood comfort challeng
352	1	0	0.4696493708441325	film offer intrigu premis
353	1	0	0.4735189058244549	much see horribl also undeni exceedingli clever
354	1	1	0.8454500132081765	zhang yimou deliv warm genuin charact lie dishonesti genuin believ way bring happi love one
355	1	0	0.4623633550937746	pianist polanski say long want say confront root preoccup obsess allow get way
356	0	1	0.5449446605091351	road trip think yet
357	0	0	0.19997828953262467	opaqu self indulg plain goofi excus movi imagin
358	1	0	0.187712494708968	say studio produc film never bother hand viewer suitcas full easi answer
359	1	1	0.6567159078412945	display equal amount naiveté passion talent cloud establish sen filmmak consider potenti
360	1	1	0.6153104761811923	extrem op exceed expect good fun good action good act good dialogu good pace good cinematographi
361	1	1	0.6389153894288889	chouraqui bring documentari like credibl horror kill field barbar ethnic cleans
362	1	1	0.7115901018332766	showtim fine look film bounci score clutch live song deft punctuat
363	0	0	0.35961896245544217	dri wit compass film suffer philosoph empti maddeningli sedat pace
364	0	1	0.7231115536815884	well mean fault antwon fisher manag dubiou feat turn man triumph everyman romanc comedi
365	0	0	0.3839984096501831	chelsea wall case mani chef fuss weak recip
366	1	1	0.7833085857287326	outstand thriller recent year
367	0	0	0.1297769542630423	plain silli
368	1	0	0.44175739517907125	understand way speak forc enough mechan poverti transcend rather simplist filmmak
369	1	1	0.903910874601031	home movi sweet treasur well worth time
370	0	0	0.2852987191236554	paint fight motor scooter chase dewi eye sentiment pretti listless collect kid-movi clich
371	0	0	0.41712066053790997	realiti snub hodgepodg
372	0	0	0.43936150018250003	origin co-opt frequent seem pedestrian
